feature,importance
pe=,4.5480029525052865e-19
ql',4.473116270376303e-19
hma,3.6770622281879074e-19
x2,2.628964588139669e-19
z,1.7382178383487373e-19
/e,1.6973924938065009e-19
'/,1.322861268113224e-19
ati,3.585759862701101e-20
(le,3.086546492768746e-20
gu,2.7920113413131534e-20
abl,2.2999945903530274e-20
e=',1.9119428202768472e-20
'n=,1.7003098371523472e-20
 (c,6.711615588242413e-21
th,3.874512562315787e-21
les,1.9396391601401244e-21
nce,0.0
mas,0.0
on(,0.0
nod,0.0
n_,0.0
ns_,0.0
"me,",0.0
md,0.0
ma_,0.0
mac,0.0
nq,0.0
n_c,0.0
nje,0.0
nct,0.0
n_u,0.0
nqi,0.0
me_,0.0
ng(,0.0
man,0.0
omp,0.0
n_p,0.0
nn,0.0
nch,0.0
nca,0.0
nno,0.0
"on,",0.0
n_n,0.0
n'-,0.0
n=l,0.0
n:n,0.0
myd,0.0
nd),0.0
n)/,0.0
n)-,0.0
oc),0.0
n)&,0.0
olu,0.0
ol_,0.0
ock,0.0
 @@,0.0
oco,0.0
ol,0.0
og_,0.0
odb,0.0
"og,",0.0
"ne,",0.0
 @,0.0
ode,0.0
ngt,0.0
ne,0.0
off,0.0
n's,0.0
n#),0.0
my,0.0
 ;w,0.0
nfo,0.0
mn,0.0
"nt,",0.0
nt_,0.0
mj,0.0
mj),0.0
omm,0.0
n.n,0.0
mm,0.0
ner,0.0
n'),0.0
mme,0.0
mn_,0.0
mpi,0.0
mns,0.0
mo,0.0
n.,0.0
mod,0.0
o ,0.0
 ;,0.0
mpd,0.0
oa,0.0
"n,s",0.0
oad,0.0
nf,0.0
ren,0.0
onc,0.0
um,0.0
us=,0.0
urr,0.0
upp,0.0
up_,0.0
unc,0.0
umn,0.0
 (l,0.0
one,0.0
ual,0.0
ua,0.0
typ,0.0
ty',0.0
txw,0.0
tx ,0.0
"v,",0.0
"v, ",0.0
v-,0.0
v--,0.0
val,0.0
var,0.0
ve,0.0
vr,0.0
vrx,0.0
 (e,0.0
w ,0.0
w',0.0
w'),0.0
w's,0.0
wap,0.0
wd,0.0
wd',0.0
tw',0.0
tw ,0.0
ts_,0.0
tad,0.0
ste,0.0
stn,0.0
str,0.0
sub,0.0
swd,0.0
sy,0.0
sys,0.0
t',0.0
t's,0.0
t(u,0.0
t1,0.0
t12,0.0
t_u,0.0
ta-,0.0
tc,0.0
ts(,0.0
tc/,0.0
te_,0.0
tem,0.0
ter,0.0
th(,0.0
the,0.0
ti),0.0
tim,0.0
tm,0.0
tmp,0.0
tn,0.0
tna,0.0
to ,0.0
toc,0.0
 (a,0.0
ws,0.0
ws',0.0
 '\,0.0
yj,0.0
yjo,0.0
yp,0.0
ype,0.0
ys,0.0
ysq,0.0
yst,0.0
ytw,0.0
z ,0.0
z',0.0
z'),0.0
z's,0.0
zo,0.0
zon,0.0
 '),0.0
yd,0.0
 ' ,0.0
has_drop,0.0
has_alter,0.0
has_execute,0.0
has_pg_sleep,0.0
 &,0.0
has_group_by,0.0
" ""s",0.0
" "";",0.0
count_slashstar,0.0
count_starslash,0.0
count_||,0.0
" "")",0.0
has_multiple_queries,0.0
yda,0.0
y--,0.0
x#,0.0
xc,0.0
x',0.0
x's,0.0
x(r,0.0
x),0.0
x) ,0.0
x)#,0.0
x)-,0.0
x-,0.0
x--,0.0
x28,0.0
x6,0.0
x61,0.0
x=x,0.0
x=y,0.0
xe ,0.0
y-,0.0
xie,0.0
xis,0.0
xw,0.0
xws,0.0
 'p,0.0
y#,0.0
y# ,0.0
y',0.0
y'),0.0
y's,0.0
y),0.0
y) ,0.0
y)#,0.0
y)-,0.0
st1,0.0
st',0.0
st ,0.0
r/,0.0
ql/,0.0
ql_,0.0
qli,0.0
r(),0.0
r(h,0.0
r),0.0
r)>,0.0
"r,",0.0
"r, ",0.0
"r,p",0.0
r-,0.0
r--,0.0
r.,0.0
r.f,0.0
r/l,0.0
ql,0.0
r=,0.0
 0,0.0
ral,0.0
rd ,0.0
rd',0.0
rd),0.0
"rd,",0.0
rd1,0.0
rd=,0.0
 -),0.0
 - ,0.0
re_,0.0
ma.,0.0
rf,0.0
ql.,0.0
qip,0.0
rin,0.0
p's,0.0
oo,0.0
oot,0.0
op,0.0
op ,0.0
orm,0.0
os,0.0
"os,",0.0
ost,0.0
ot',0.0
oup,0.0
ox,0.0
oxi,0.0
p ,0.0
p',0.0
p),0.0
qi,0.0
p) ,0.0
p)#,0.0
p)-,0.0
p_,0.0
p_c,0.0
pdi,0.0
pe,0.0
per,0.0
pg,0.0
pg_,0.0
pil,0.0
ppe,0.0
 0x,0.0
q,0.0
rfo,0.0
riv,0.0
sql,0.0
s_,0.0
s't,0.0
s'u,0.0
s'w,0.0
s'x,0.0
s'y,0.0
s(,0.0
s(s,0.0
s) ,0.0
s)-,0.0
s)>,0.0
"s,",0.0
"s, ",0.0
s-,0.0
s=,0.0
sch,0.0
s'r,0.0
sci,0.0
se ,0.0
se',0.0
se(,0.0
sec,0.0
sed,0.0
 )),0.0
 ) ,0.0
sh,0.0
sha,0.0
 ),0.0
so,0.0
soc,0.0
sq,0.0
s's,0.0
s'p,0.0
rl,0.0
rx,0.0
rli,0.0
rm,0.0
rm',0.0
 +b,0.0
roo,0.0
rop,0.0
rot,0.0
rou,0.0
rox,0.0
rr,0.0
rre,0.0
rs',0.0
rs),0.0
rs_,0.0
rxe,0.0
s'i,0.0
"s""",0.0
"s"" ",0.0
"s""*",0.0
 +,0.0
"s'""",0.0
s'',0.0
"s',",0.0
s'/,0.0
s':,0.0
s';,0.0
s'\,0.0
s'c,0.0
s'd,0.0
s'g,0.0
ma=,0.0
gt,0.0
"ma,",0.0
/*,0.0
/p,0.0
/my,0.0
/m,0.0
/li,0.0
/l,0.0
/et,0.0
/*',0.0
/ ,0.0
/u,0.0
.us,0.0
.u,0.0
.ta,0.0
.t,0.0
.sc,0.0
.s,0.0
.pr,0.0
/pa,0.0
/us,0.0
.n.,0.0
12,0.0
28,0.0
23',0.0
23,0.0
2,0.0
164,0.0
16,0.0
123,0.0
1(n,0.0
/v,0.0
1(,0.0
1,0.0
0x6,0.0
0x2,0.0
0x,0.0
0,0.0
/va,0.0
.p,0.0
.n',0.0
3,0.0
",ho",0.0
",s",0.0
",pa",0.0
",p",0.0
",n)",0.0
",n ",0.0
",n",0.0
",md",0.0
",h",0.0
",t",0.0
",co",0.0
",c",0.0
+be,0.0
+b,0.0
+',0.0
+ ,0.0
+,0.0
